id,name,job_title,license,password,address,ssn,mobile_phone,email,home_phone,work_phone,assignments
29,John Doe 9,Pilot,V500,$2b$12$XjsaF6ICeiV9wM1X6YPuNuPU0EPBw4g.ny6mAy2d0GBbgy55L3nH.,blabla,1910101010,1234567,10nan@air.is,1234567,,
30,Jane Doe 0,Flight Attendant,,$2b$12$XjsaF6ICeiV9wM1X6YPuNuPU0EPBw4g.ny6mAy2d0GBbgy55L3nH.,blabla,1010101010,1234567,1nan@air.is,1234567,,
31,Jane Doe 1,Flight Attendant,,$2b$12$XjsaF6ICeiV9wM1X6YPuNuPU0EPBw4g.ny6mAy2d0GBbgy55L3nH.,blabla,1110101010,1234567,2nan@air.is,1234567,,
32,Jane Doe 2,Flight Attendant,,$2b$12$XjsaF6ICeiV9wM1X6YPuNuPU0EPBw4g.ny6mAy2d0GBbgy55L3nH.,blabla,1210101010,1234567,3nan@air.is,1234567,,
33,Jane Doe 3,Flight Attendant,,$2b$12$XjsaF6ICeiV9wM1X6YPuNuPU0EPBw4g.ny6mAy2d0GBbgy55L3nH.,blabla,1310101010,1234567,4nan@air.is,1234567,,
34,Jane Doe 4,Flight Attendant,,$2b$12$XjsaF6ICeiV9wM1X6YPuNuPU0EPBw4g.ny6mAy2d0GBbgy55L3nH.,blabla,1410101010,1234567,5nan@air.is,1234567,,
35,Jane Doe 5,Flight Attendant,,$2b$12$XjsaF6ICeiV9wM1X6YPuNuPU0EPBw4g.ny6mAy2d0GBbgy55L3nH.,blabla,1510101010,1234567,6nan@air.is,1234567,,
36,Jane Doe 6,Flight Attendant,,$2b$12$XjsaF6ICeiV9wM1X6YPuNuPU0EPBw4g.ny6mAy2d0GBbgy55L3nH.,blabla,1610101010,1234567,7nan@air.is,1234567,,
37,Jane Doe 7,Flight Attendant,,$2b$12$XjsaF6ICeiV9wM1X6YPuNuPU0EPBw4g.ny6mAy2d0GBbgy55L3nH.,blabla,1710101010,1234567,8nan@air.is,1234567,,
38,Jane Doe 8,Flight Attendant,,$2b$12$XjsaF6ICeiV9wM1X6YPuNuPU0EPBw4g.ny6mAy2d0GBbgy55L3nH.,blabla,1810101010,1234567,9nan@air.is,1234567,,
39,Jane Doe 9,Flight Attendant,,$2b$12$XjsaF6ICeiV9wM1X6YPuNuPU0EPBw4g.ny6mAy2d0GBbgy55L3nH.,blabla,1910101010,1234567,10nan@air.is,1234567,,
